FOOD_ID,DATE,MEAL,FOODS,Food_Item,Quantity,Calories,Protein (g),Carbs (g),Fat (g),Cholest (mg),Sodium (mg),Sugar (g),Fiber (g)
80,3/7/2025,Meal 3,"Downeast - Downeast Original Blend Cider, 36 fl oz",Downeast Original Blend Cider, 36 fl oz,546 ,0 ,60 ,0 ,0 ,0 ,51 ,0 
81,3/7/2025,Meal 3,"Grilled Beef - Grilled Beef, 5 ounce",Grilled Beef, 5 ounce,354 ,37 ,--,21 ,--,--,--,--
82,3/7/2025,Meal 3,"Ribs - Ribs Pork, 5 ribs",Ribs - Ribs Pork, 5 ribs,369 ,54 ,4 ,17 ,60 ,330 ,1 ,0 
83,3/7/2025,Total,TOTALS,,,"3,932 ",210 ,431 ,139 ,397 ,"2,764 ",229 ,21 
84,3/8/2025,Meal 1,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
85,3/8/2025,Meal 1,"Post - Honey Bunches of Oats, Crispy with Almonds, 1.5 cup","Honey Bunches of Oats, Crispy with Almonds", 1.5 cup,255 ,5 ,51 ,5 ,0 ,270 ,14 ,3 
86,3/8/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
87,3/8/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
88,3/8/2025,Meal 1,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
89,3/8/2025,Meal 2,"bobs red mill - pancake, 0.5 cup",pancake, 0.5 cup,280 ,14 ,54 ,2 ,0 ,600 ,4 ,10 
90,3/8/2025,Meal 2,"Grilled Beef - Grilled Beef, 4 ounce",Grilled Beef, 4 ounce,283 ,29 ,--,17 ,--,--,--,--
91,3/8/2025,Meal 2,"Doña Lupe Flour Tortillas - Flour Tortillas, 2 tortilla",Flour Tortillas, 2 tortilla,220 ,0 ,72 ,4 ,0 ,960 ,0 ,2 
92,3/8/2025,Meal 3,"Carrots - Baby, 6 ounce",Carrots - Baby, 6 ounce,70 ,2 ,16 ,0 ,16 ,130 ,10 ,4 
93,3/8/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
94,3/8/2025,Meal 3,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
95,3/8/2025,Meal 3,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
96,3/8/2025,Snacks,"modelo - beer, 24 fl oz",modelo - beer, 24 fl oz,240 ,0 ,25 ,0 ,--,--,--,--
97,3/8/2025,Total,TOTALS,,,"2,370 ",166 ,289 ,59 ,984 ,"4,125 ",78 ,23 
98,3/9/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
99,3/9/2025,Meal 1,"Blueberries, 1 cup",Blueberries, 1 cup,42 ,1 ,11 ,0 ,0 ,1 ,7 ,2 
100,3/9/2025,Meal 1,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
101,3/9/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
102,3/9/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
103,3/9/2025,Meal 2,"Publix - Fried Chicken Drums, 3 drumstick (3 oz)",Fried Chicken Drums, 3 drumstick (3 oz),690 ,48 ,33 ,39 ,210 ,"1,560 ",--,--
104,3/9/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
105,3/9/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
106,3/9/2025,Meal 3,"Fried Beans - Fried Beans, 3 oz",Fried Beans, 3 oz,145 ,6 ,19 ,5 ,--,--,--,--
107,3/9/2025,Meal 3,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
108,3/9/2025,Meal 3,"Avocado - Avocado, 2.5 oz(s)",Avocado, 2.5 oz(s),166 ,2 ,9 ,15 ,0 ,7 ,1 ,7 
109,3/9/2025,Snacks,"Klondike - Klondike Bar, 1 bar",Klondike Bar, 1 bar,250 ,3 ,29 ,14 ,10 ,70 ,23 ,1 
110,3/9/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
111,3/9/2025,Total,TOTALS,,,"2,897 ",185 ,256 ,131 ,"1,835 ","3,382 ",96 ,17 
112,3/10/2025,Meal 1,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
113,3/10/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
114,3/10/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
115,3/10/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
116,3/10/2025,Meal 2,"Goya - Red Kidney Beans, 1 cup",Red Kidney Beans, 1 cup,560 ,36 ,104 ,0 ,0 ,20 ,4 ,24 
117,3/10/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
118,3/10/2025,Meal 3,"Grilled Beef - Grilled Beef, 4.5 ounce",Grilled Beef, 4.5 ounce,319 ,33 ,--,19 ,--,--,--,--
119,3/10/2025,Meal 3,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
120,3/10/2025,Total,TOTALS,,,"2,505 ",196 ,183 ,121 ,"1,185 ","1,204 ",38 ,40 
121,3/11/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
122,3/11/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
123,3/11/2025,Meal 2,"Grilled Beef - Grilled Beef, 4.5 ounce",Grilled Beef, 4.5 ounce,319 ,33 ,--,19 ,--,--,--,--
124,3/11/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
125,3/11/2025,Meal 2,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
126,3/11/2025,Meal 2,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
127,3/11/2025,Meal 3,"Boiled Green Banana, 1 banana",Boiled Green Banana, 1 banana,107 ,1 ,27 ,1 ,0 ,98 ,14 ,3 
128,3/11/2025,Meal 3,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
129,3/11/2025,Meal 3,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
130,3/11/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
131,3/11/2025,Snacks,"Nutribar - Oatmeal and rice bar, 1 pack",Oatmeal and rice bar, 1 pack,101 ,2 ,21 ,1 ,0 ,0 ,0 ,0 
132,3/11/2025,Total,TOTALS,,,"2,018 ",121 ,184 ,99 ,307 ,655 ,54 ,20 
133,3/12/2025,Meal 1,"Red onion, 3 tbsp, chopped",Red onion, 3 tbsp,12 ,0 ,3 ,0 ,0 ,1 ,1 ,1 
134,3/12/2025,Meal 1,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
135,3/12/2025,Meal 1,"Blueberries, 1 cup",Blueberries, 1 cup,42 ,1 ,11 ,0 ,0 ,1 ,7 ,2 
136,3/12/2025,Meal 1,"Hellman's - Mayonnaise, 1.5 tbsp",Mayonnaise, 1.5 tbsp,135 ,0 ,0 ,15 ,8 ,135 ,0 ,0 
137,3/12/2025,Meal 1,"Pear, 1 cup",Pear, 1 cup,74 ,0 ,19 ,0 ,0 ,4 ,12 ,4 
138,3/12/2025,Meal 1,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
139,3/12/2025,Meal 1,"Market Basket - Solid White Albacore, Tuna in Water, 1 can drained","Solid White Albacore, Tuna in Water", 1 can drained,130 ,30 ,0 ,1 ,45 ,350 ,--,--
140,3/12/2025,Meal 2,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
141,3/12/2025,Meal 2,"Red onion, 3 tbsp, chopped",Red onion, 3 tbsp,12 ,0 ,3 ,0 ,0 ,1 ,1 ,1 
142,3/12/2025,Meal 2,"Hellman's - Mayonnaise, 1.5 tbsp",Mayonnaise, 1.5 tbsp,135 ,0 ,0 ,15 ,8 ,135 ,0 ,0 
143,3/12/2025,Meal 2,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
144,3/12/2025,Meal 3,"Grilled Beef - Grilled Beef, 4.5 ounce",Grilled Beef, 4.5 ounce,319 ,33 ,--,19 ,--,--,--,--
145,3/12/2025,Snacks,"Oreos, 4 cookie",Oreos, 4 cookie,204 ,2 ,31 ,8 ,0 ,171 ,18 ,1 
146,3/12/2025,Total,TOTALS,,,"1,763 ",152 ,99 ,83 ,"1,011 ","2,058 ",65 ,10 
147,3/13/2025,Meal 1,"Jif - Peanut Butter, Creamy, 84 g",Peanut Butter, 84 g,484 ,18 ,20 ,41 ,0 ,356 ,8 ,5 
148,3/13/2025,Meal 1,"Boiled Green Banana, 1 banana",Boiled Green Banana, 1 banana,107 ,1 ,27 ,1 ,0 ,98 ,14 ,3 
149,3/13/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
150,3/13/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
151,3/13/2025,Meal 3,"Market Basket - Eggs, 5 egg",Eggs, 5 egg,350 ,30 ,5 ,23 ,"1,075 ",325 ,0 ,0 
152,3/13/2025,Meal 3,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
153,3/13/2025,Total,TOTALS,,,"1,826 ",140 ,85 ,117 ,"1,400 ","1,702 ",35 ,14 
154,3/14/2025,Meal 1,"Nutribar - Oatmeal and rice bar, 1 pack",Oatmeal and rice bar, 1 pack,101 ,2 ,21 ,1 ,0 ,0 ,0 ,0 
155,3/14/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
156,3/14/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
157,3/14/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 1.5 ounce",Almonds - Roasted, 1.5 ounce,255 ,9 ,9 ,24 ,--,--,3 ,4 
158,3/14/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
159,3/14/2025,Meal 3,"New Holland - Dragon's Milk White Stout, 24 fl oz",Dragon's Milk White Stout, 24 fl oz,420 ,6 ,38 ,0 ,--,--,--,--
160,3/14/2025,Meal 3,"Lone Star - Potato, Medium, Baked, 200 g",Potato, 200 g,186 ,5 ,42 ,1 ,--,78 ,2 ,5 
161,3/14/2025,Meal 3,"Broccoli - Broccoli Steamed, 2 cup",Broccoli Steamed, 2 cup,62 ,5 ,12 ,1 ,0 ,60 ,3 ,5 
162,3/14/2025,Meal 3,"Grilled - Ribeye, 20 oz",Grilled - Ribeye, 20 oz,"1,550 ",120 ,0 ,110 ,400 ,275 ,0 ,0 
163,3/14/2025,Snacks,"Taco, 1 taco",Taco, 1 taco,210 ,9 ,21 ,10 ,26 ,571 ,2 ,3 
164,3/14/2025,Total,TOTALS,,,"3,550 ",221 ,195 ,187 ,733 ,"1,360 ",31 ,24 
165,3/15/2025,Meal 1,"empanada don maiz - empanada don maiz, 3 unidad",empanada don maiz, 3 unidad,510 ,21 ,12 ,27 ,--,870 ,0 ,6 
166,3/15/2025,Meal 1,"Oreos, 7 cookie",Oreos, 7 cookie,357 ,4 ,55 ,15 ,0 ,299 ,31 ,2 
167,3/15/2025,Meal 2,"Carrots - Baby, 6 ounce",Carrots - Baby, 6 ounce,70 ,2 ,16 ,0 ,16 ,130 ,10 ,4 
168,3/15/2025,Meal 2,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
169,3/15/2025,Meal 2,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
